TIME,RPM,TPS,Tensão_da_Bateria,Temp._do_motor,Temperatura_do_óleo,Temp._do_Ar,Pressão_de_Óleo,Pressão_diferencial_de_combustível,Sonda_Geral,Vazão_da_bancada_A,WPS,Pressão_do_freio,Pressão_da_embreagem,Amortecedor_dianteiro_esquerdo,Amortecedor_traseiro_esquerdo,Velocidade_da_roda_frontal_direita,Velocidade_da_roda_frontal_esquerda,Velocidade_da_roda_traseira_esquerda,Marcha,Força_G_aceleração,Força_G_lateral
-1.000,6061,100.0,13.48,89.6,94.4,35.6,3.66,2.94,0.858,23.94,-4.31,7.9,8.6,53.360,55.880,8.8,0.0,2.6,0,0.574,-0.105
-0.960,5988,100.0,13.48,89.6,94.4,35.6,3.47,2.94,0.859,23.65,-4.32,7.6,8.7,53.360,55.880,9.7,0.0,2.8,0,0.563,-0.103
-0.920,5977,100.0,13.48,89.6,94.4,35.6,3.49,2.94,0.920,23.77,-4.21,7.6,8.1,53.360,55.890,10.8,0.0,2.9,0,0.545,-0.111
-0.880,6009,100.0,13.49,89.7,94.5,35.6,3.63,2.94,0.912,24.49,-4.14,7.5,7.9,53.360,55.920,12.2,0.0,2.9,0,0.580,-0.094
-0.840,6030,99.9,13.49,89.7,94.5,35.6,3.51,2.94,0.890,24.02,-3.84,7.9,7.6,53.330,55.950,13.2,0.0,2.9,0,0.613,-0.106
-0.800,6006,99.9,13.49,89.7,94.5,35.6,3.53,2.94,0.896,24.35,-3.63,8.2,8.4,53.340,55.920,13.8,0.0,3.1,0,0.604,-0.118
-0.760,5890,100.0,13.49,89.7,94.4,35.6,3.49,2.94,0.895,24.11,-3.52,8.3,8.6,53.340,56.040,15.1,0.0,3.7,0,0.592,-0.103
-0.720,5942,100.0,13.49,89.7,94.5,35.5,3.60,2.94,0.892,24.11,-3.48,8.0,8.8,53.330,56.130,16.0,0.0,7.7,0,0.648,-0.100
-0.680,5921,100.0,13.50,89.8,94.4,35.5,3.52,2.94,0.861,24.00,-3.30,7.6,8.5,53.370,56.070,17.1,0.0,18.8,0,0.661,-0.102
-0.640,5898,100.0,13.50,89.8,94.4,35.5,3.72,2.94,0.875,23.51,-3.35,6.8,9.3,53.450,56.070,18.6,0.0,22.6,1,0.661,-0.110
-0.600,5869,100.0,13.50,89.8,94.4,35.5,3.86,2.94,0.871,23.65,-3.03,7.3,9.8,53.370,56.070,19.8,0.0,10.5,1,0.709,-0.119
-0.560,5942,100.0,13.50,89.8,94.5,35.5,3.78,2.94,0.872,23.51,-2.98,7.7,8.5,53.360,55.980,21.1,0.0,9.0,1,0.742,-0.079
-0.520,5831,99.9,13.50,89.8,94.5,35.5,3.73,2.94,0.857,23.29,-2.99,7.9,9.4,53.370,56.090,21.9,0.0,7.6,1,0.767,-0.026
-0.480,5741,99.9,13.50,89.9,94.5,35.4,3.70,2.95,0.871,22.79,-2.74,7.9,9.2,53.400,56.270,24.2,0.0,5.9,1,0.811,-0.033
-0.440,5783,99.9,13.50,89.9,94.5,35.4,3.42,2.95,0.858,22.84,-2.00,7.6,9.4,53.370,56.360,26.0,0.0,7.9,1,0.854,-0.071
-0.400,5940,99.9,13.50,89.9,94.4,35.4,3.56,2.95,0.859,22.46,-0.39,7.8,9.5,53.390,56.250,26.5,0.0,7.6,1,0.826,-0.058
-0.360,6064,100.0,13.50,89.9,94.4,35.4,3.70,2.95,0.865,22.56,2.10,7.7,8.0,53.370,56.030,27.6,0.0,6.4,1,0.745,-0.075
-0.320,5855,100.0,13.51,89.9,94.5,35.4,3.73,2.95,0.881,22.23,3.22,7.9,8.0,53.360,56.030,28.4,0.0,6.2,2,0.705,-0.078
-0.280,5645,100.0,13.51,90.0,94.5,35.4,3.37,2.96,0.954,22.47,3.38,7.9,7.5,53.400,56.130,29.3,0.0,6.0,2,0.718,-0.043
-0.240,5712,100.0,13.51,90.0,94.5,35.4,3.37,2.96,0.910,22.89,3.39,7.6,7.3,53.400,56.270,31.8,0.0,5.2,2,0.763,-0.024
-0.200,5892,100.0,13.51,90.0,94.5,35.4,3.55,2.96,0.880,22.76,3.41,7.8,7.8,53.400,56.160,33.2,0.0,3.4,2,0.771,-0.009
-0.160,5985,100.0,13.52,90.0,94.5,35.4,3.75,2.96,0.873,22.60,3.41,7.7,8.8,53.370,56.100,33.1,0.0,3.2,2,0.729,-0.028
-0.120,6084,100.0,13.52,90.0,94.5,35.3,3.57,2.96,0.899,22.92,3.41,7.7,8.6,53.360,56.100,33.4,0.0,3.2,2,0.679,-0.043
-0.080,5999,100.0,13.52,90.1,94.5,35.3,3.66,2.96,0.931,23.29,3.37,7.1,8.5,53.390,55.970,35.4,0.0,3.3,2,0.626,-0.033
-0.040,6055,100.0,13.53,90.1,94.5,35.3,3.90,2.96,0.984,24.12,3.11,7.4,8.9,53.360,55.580,35.2,0.0,4.1,2,0.531,-0.035
0.000,6345,100.0,13.53,90.1,94.5,35.3,3.89,2.95,0.999,25.72,2.99,7.5,9.0,53.370,55.520,35.5,0.0,8.7,2,0.416,-0.016
0.040,6770,100.0,13.53,90.1,94.5,35.3,4.03,2.95,1.007,26.76,2.95,6.9,8.4,53.360,55.610,36.9,0.0,21.4,2,0.353,-0.026
0.080,7056,100.0,13.52,90.2,94.5,35.3,4.10,2.94,0.940,28.57,2.67,7.4,8.2,53.370,55.580,36.9,0.0,26.3,2,0.318,-0.041
0.120,7142,99.9,13.52,90.2,94.5,35.2,4.56,2.95,0.827,28.16,0.94,7.3,7.5,53.420,55.910,37.7,0.0,16.7,2,0.340,-0.043
0.160,7243,99.9,13.51,90.2,94.5,35.2,4.54,2.95,0.793,26.32,-0.19,7.2,8.3,53.420,55.920,39.4,0.0,18.2,2,0.408,-0.055
0.200,7527,100.0,13.51,90.2,94.5,35.2,4.39,2.95,0.792,26.15,-0.24,7.4,8.8,53.420,55.740,40.8,0.0,15.5,2,0.419,-0.096
0.240,7774,100.0,13.51,90.3,94.5,35.2,4.69,2.95,0.811,26.05,-0.28,7.7,8.9,53.420,55.850,41.3,0.0,21.6,2,0.437,-0.096
0.280,7927,99.9,13.51,90.3,94.5,35.2,4.81,2.94,0.832,25.92,-0.45,7.8,8.7,53.430,55.940,41.5,0.0,32.9,2,0.486,-0.091
0.320,8135,99.9,13.50,90.3,94.5,35.2,4.79,2.95,0.858,27.35,-1.64,7.5,8.7,53.420,56.120,44.0,0.0,20.4,2,0.585,-0.086
0.360,8498,99.9,13.50,90.4,94.5,35.2,4.70,2.95,0.897,30.69,-2.83,8.0,9.6,53.400,55.880,45.0,0.0,13.4,2,0.610,-0.059
0.400,8787,99.9,13.50,90.4,94.5,35.2,4.97,2.94,0.937,31.83,-3.04,7.8,9.8,53.360,55.940,45.7,0.0,16.0,2,0.630,-0.052
0.440,8927,100.0,13.50,90.4,94.5,35.1,5.27,2.94,0.942,32.47,-3.67,7.6,8.6,53.360,55.920,46.8,0.0,24.4,2,0.671,-0.033
0.480,9134,100.0,13.49,90.4,94.5,35.1,5.05,2.94,0.925,32.98,-4.90,7.6,8.6,53.370,55.920,47.3,0.0,25.4,2,0.698,-0.016
0.520,9337,100.0,13.49,90.4,94.5,35.1,4.80,2.94,0.914,35.06,-5.11,7.9,9.1,53.430,55.920,48.4,0.0,25.6,2,0.700,-0.026
0.560,9568,100.0,13.49,90.5,94.5,35.0,5.29,2.94,0.904,36.83,-5.42,7.7,9.2,53.360,55.890,50.4,0.0,25.7,2,0.729,-0.021
0.600,9727,100.0,13.49,90.5,94.5,35.0,5.37,2.95,0.891,38.78,-5.65,7.7,8.8,53.400,56.030,51.9,0.0,25.7,2,0.740,-0.047
0.640,9582,100.0,13.48,90.5,94.5,35.0,5.29,2.95,0.880,38.42,-6.00,7.3,8.4,53.390,55.970,52.5,0.0,25.6,2,0.735,-0.066
0.680,9273,100.0,13.48,90.5,94.5,35.0,5.26,2.95,0.885,36.80,-6.29,7.5,9.6,53.390,55.910,51.0,0.0,25.4,2,0.723,-0.048
0.720,10018,100.0,13.47,90.5,94.5,34.9,5.39,2.95,0.888,41.02,-6.63,7.6,10.0,53.400,55.730,51.6,0.0,24.4,2,0.656,-0.044
0.760,10425,100.0,13.47,90.5,94.5,34.9,5.44,2.94,0.885,42.39,-6.77,8.4,10.0,53.370,55.760,54.1,0.0,18.2,2,0.611,-0.039
0.800,10588,100.0,13.47,90.5,94.5,34.9,5.52,2.94,0.850,42.45,-7.18,9.8,8.3,53.480,55.800,55.2,0.0,4.0,2,0.632,-0.037
0.840,10496,99.9,13.47,90.5,94.5,34.9,5.71,2.94,0.828,40.91,-8.93,15.1,11.0,53.460,56.010,55.1,0.0,4.1,2,0.666,-0.046
0.880,9970,99.9,13.47,90.6,94.5,34.9,5.28,2.96,0.851,37.55,-10.64,37.3,17.5,53.360,55.620,55.6,0.0,8.9,2,0.637,-0.069
0.920,9410,100.0,13.48,90.6,94.5,34.8,4.92,2.96,1.244,34.59,-12.62,77.5,35.6,53.390,55.710,57.7,0.0,22.3,2,0.567,-0.088
0.960,9022,99.9,13.48,90.6,94.5,34.8,4.93,2.94,2.018,36.60,-14.16,91.8,49.0,53.520,55.700,58.2,0.0,50.7,2,0.433,-0.092
